Показатель,Категория,Группа А,Группа Б,p-уровень
Мутация BRCA,Оценка не проводилась,"99.2% (781/787)","97.5% (706/724)","<0.01*"
Мутация BRCA,BRCA1,"0.8% (6/787)","0% (0/724)","<0.01*"
Мутация BRCA,Мутаций не выявлено,"0% (0/787)","2.5% (18/724)","<0.01*"
Сторона поражения,Правая,"7.1% (56/787)","15.8% (114/724)","<0.01*"
Сторона поражения,Левая,"7.2% (57/787)","5.8% (42/724)","<0.01*"
Сторона поражения,Обе,"2.3% (18/787)","5.8% (42/724)","<0.01*"
Сторона поражения,Не пальпируются,"83.4% (656/787)","72.7% (526/724)","<0.01*"
Втягивание соска,Нет,"100% (787/787)","97.5% (706/724)","<0.01*"
Втягивание соска,Да,"0% (0/787)","2.5% (18/724)","<0.01*"
Выделения из соска,Нет,"99.1% (780/787)","100% (724/724)","0.02*"
Выделения из соска,Кровянистые,"0.9% (7/787)","0% (0/724)","0.02*"
Структура ACR,Тип С,"72.9% (574/787)","67.8% (491/724)","0.03*"
Структура ACR,Тип D,"27.1% (213/787)","32.2% (233/724)","0.03*"
Квадрант,Нет,"83.4% (656/787)","70.9% (513/724)","<0.01"
Квадрант,Верхне-наружный,"4.1% (32/787)","12.3% (89/724)","<0.01"
Квадрант,Верхне-внутренний,"3.8% (30/787)","4.1% (30/724)","<0.01"
Квадрант,Нижне-наружный,"0.8% (6/787)","4.1% (30/724)","<0.01"
Квадрант,Нижне-внутренний,"1.5% (12/787)","0.8% (6/724)","<0.01"
Квадрант,Граница внутреннего,"1.7% (13/787)","1.8% (13/724)","<0.01"
Квадрант,Граница наружного,"0.8% (6/787)","1.7% (12/724)","<0.01"
Квадрант,Граница верхнего,"4.1% (32/787)","1.7% (12/724)","<0.01"
Квадрант,Граница нижних,"0% (0/787)","1.8% (13/724)","<0.01"
Квадрант,Вся железа,"0% (0/787)","0.8% (6/724)","<0.01"
