Показатель,Категория,Группа В,Группа Г,p-уровень
Мутация BRCA,Оценка не проводилась,"98.7% (620/628)","94.8% (621/655)","<0.01*"
Мутация BRCA,Мутаций не выявлено,"1.3% (8/628)","2.3% (15/655)","<0.01*"
Мутация BRCA,BRCA2,"0% (0/628)","0.6% (4/655)","<0.01*"
Сторона поражения,Правая,"6.7% (42/628)","12% (85/655)","<0.01*"
Сторона поражения,Левая,"3.7% (23/628)","14.1% (92/655)","<0.01*"
Сторона поражения,Обе,"3.2% (20/628)","6.3% (41/655)","<0.01*"
Сторона поражения,Не пальпируются,"86.5% (543/628)","66.7% (437/655)","<0.01*"
Кожные симптомы,Нет,"99.5% (625/628)","98.6% (646/655)",0.17
Кожные симптомы,Отек,"0% (0/628)","0.5% (3/655)",0.17
Кожные симптомы,Гиперемия,"0.5% (3/628)","0.9% (6/655)",0.17
Втягивание соска,Нет,"95.5% (600/628)","96.5% (632/655)",0.08
Втягивание соска,Да,"4.5% (28/628)","3.5% (23/655)",0.08
Выделения из соска,Нет,"99.5% (625/628)","98.3% (644/655)","<0.01*"
Выделения из соска,Светлые,"0% (0/628)","1.2% (8/655)","<0.01*"
Выделения из соска,Кровянистые,"0.5% (3/628)","0.5% (3/655)","<0.01*"
Структура ACR,Тип С,"87.4% (549/628)","88.6% (580/655)",0.55
Структура ACR,Тип D,"12.6% (79/628)","11.4% (75/655)",0.55
Квадрант,Нет,"84.6% (531/628)","67.2% (440/655)","<0.01*"
Квадрант,Верхне-наружный,"7.5% (47/628)","13.4% (88/655)","<0.01*"
Квадрант,Верхне-внутренний,"1.8% (11/628)","7.5% (49/655)","<0.01*"
Квадрант,Нижне-наружный,"1.1% (7/628)","2.8% (18/655)","<0.01*"
Квадрант,Нижне-внутренний,"1.9% (12/628)","1.1% (7/655)","<0.01*"
Квадрант,Граница наружного,"1% (6/628)","3.4% (22/655)","<0.01*"
Квадрант,Граница верхнего,"1.8% (11/628)","1.5% (10/655)","<0.01*"
Квадрант,Граница нижних,"0.5% (3/628)","1.1% (7/655)","<0.01*"
Квадрант,Вся железа,"0% (0/628)","1.1% (7/655)","<0.01*"
Квадрант,Центральный квадрант,"0% (0/628)","1.1% (7/655)","<0.01*"
