Показатель,Значение,Группа А,Группа Б
Гистологическое исследование,инвазивный дольковый рак,12.5% (2/16),0% (0/37)
Гистологическое исследование,инвазивный рак неспециального типа,62.5% (10/16),67.568% (25/37)
Гистологическое исследование,протоковый рак in situ,25% (4/16),32.432% (12/37)
Иммуногистохимическое исследование,негатив,60% (9/15),10.811% (4/37)
Иммуногистохимическое исследование,Her-2_neu,0% (0/15),16.216% (6/37)
Иммуногистохимическое исследование,РЭ+РП +Her-2_neu,0% (0/15),16.216% (6/37)
Иммуногистохимическое исследование,РЭ+РП +Her-2_neu негатив,40% (6/15),56.757% (21/37)
Степень злокачественности,II (умеренная 6-7 балов),40% (6/15),51.351% (19/37)
Степень злокачественности,III (высокая 8-9 бал),60% (9/15),48.649% (18/37)
Гистологически обнаружено злокачественное образование,Да,1.525% (12/787),5.11% (37/724)
Гистологически обнаружено злокачественное образование,Нет,98.475% (775/787),94.89% (687/724)
