Показатель,Значение,Группа A,Группа B
УЗ-фон,железистая ткань,63.278% (498/787),68.094% (493/724)
УЗ-фон,кисты,0.762% (6/787),0% (0/724)
УЗ-фон,склероз,0% (0/787),0.967% (7/724)
УЗ-фон,фиброзно-кистозная мастопатия,35.959% (283/787),30.939% (224/724)
Образование находилось,верхне-внутренний,22.778% (41/180),13.216% (30/227)
Образование находилось,верхне-наружный,20.556% (37/180),46.256% (105/227)
Образование находилось,вся железа,3.333% (6/180),0% (0/227)
Образование находилось,граница,6.667% (12/180),8.811% (20/227)
Образование находилось,граница верхних,15% (27/180),2.643% (6/227)
Образование находилось,граница внутренних,13.889% (25/180),0% (0/227)
Образование находилось,граница наружных,0% (0/180),13.216% (30/227)
Образование находилось,граница нижних,0% (0/180),0% (0/227)
Образование находилось,нижне-внутренний,7.222% (13/180),2.643% (6/227)
Образование находилось,нижне-наружный,10.556% (19/180),10.573% (24/227)
Образование находилось,центральный отдел,0% (0/180),2.643% (6/227)
Форма образования,неправильная,3.333% (6/180),13.216% (30/227)
Форма образования,овальная,86.667% (156/180),78.414% (178/227)
Форма образования,округлая,6.667% (12/180),2.643% (6/227)
Форма образования,участок нарушения архитектоники,3.333% (6/180),5.727% (13/227)
Размер образования,"0,5-1,0 см",37.222% (67/180),34.802% (79/227)
Размер образования,"1,1-1,5 см",38.333% (69/180),45.815% (104/227)
Размер образования,"1,5-2,0 см",17.222% (31/180),8.37% (19/227)
Размер образования,"2,1-2,5 см",0% (0/180),2.643% (6/227)
Размер образования,"2,5-3,0 см",7.222% (13/180),8.37% (19/227)
Размер образования,"более 3 см",0% (0/180),0% (0/227)
Края образования,волнистые,14.444% (26/180),8.37% (19/227)
Края образования,звездчатые,0% (0/180),5.286% (12/227)
Края образования,неровные,3.333% (6/180),5.286% (12/227)
Края образования,полициклические,0% (0/180),2.643% (6/227)
Края образования,ровные,82.222% (148/180),78.414% (178/227)
Эхогенность образования,гипоэхогенное,89.444% (161/180),94.714% (215/227)
Эхогенность образования,изоэхогенное,3.889% (7/180),2.643% (6/227)
Эхогенность образования,смешанная,6.667% (12/180),2.643% (6/227)
УЗ-структура образования,наличие внутрикистозных пристеночных разрастаний,3.333% (6/180),0% (0/227)
УЗ-структура образования,неоднородная,13.889% (25/180),24.229% (55/227)
УЗ-структура образования,однородная,82.778% (149/180),75.771% (172/227)
УЗ-структура образования,с жидкостным содержимым,0% (0/180),0% (0/227)
Количество узлов,один,79.444% (143/180),72.687% (165/227)
Количество узлов,два,13.889% (25/180),11.013% (25/227)
Количество узлов,три,3.333% (6/180),5.286% (12/227)
Количество узлов,множественные,3.333% (6/180),11.013% (25/227)
Кровоток в образовании,не определяется,36.111% (65/180),37.445% (85/227)
Кровоток в образовании,интранодулярный,10% (18/180),21.586% (49/227)
Кровоток в образовании,перинодулярный,50.556% (91/180),40.969% (93/227)
Кровоток в образовании,смешанный,3.333% (6/180),0% (0/227)
Эластография,0 эластотип,52.859% (416/787),52.348% (379/724)
Эластография,1 эластотип,3.558% (28/787),2.348% (17/724)
Эластография,2 эластотип,35.959% (283/787),37.017% (268/724)
Эластография,3 эластотип,5.337% (42/787),6.492% (47/724)
Эластография,4 эластотип,0.762% (6/787),0.138% (1/724)
Эластография,нет данных,1.525% (12/787),1.657% (12/724)
