Показатель,Значение,3D УЗИ (моложе 40 лет)
Общая характеристика,Доля от общей выборки,47.92% (724/1511)
Общая характеристика,Кожа не изменена,100% (724/724)
Общая характеристика,Симптом ретракции,11.05% (80/724)
Общая характеристика,Кальцинаты,3% (24/724)
Общая характеристика,Диагноз рак,6.08% (44/724)
Образование,Наличие образования,35.64% (258/724)
Размер,"0,5-1,0 см",37.6% (97/258)
Размер,"1,1-1,5 см",40.7% (105/258)
Размер,"1,5-2,0 см",12.02% (31/258)
Размер,"2,5-3,0 см",9.69% (25/258)
Контуры,ровные,80.62% (208/258)
Контуры,неровные,14.34% (37/258)
Контуры,полициклические,2.33% (6/258)
Контуры,нарушение архитектоники,2.71% (7/258)
Эхогенность,гипоэхогенное,97.67% (252/258)
Эхогенность,смешанная,2.33% (6/258)
Структура,однородная,71.32% (184/258)
Структура,неоднородная,25.97% (67/258)
Структура,внутрикистозные разрастания,2.71% (7/258)
Количество узлов,один,75.97% (196/258)
Количество узлов,два,9.69% (25/258)
Количество узлов,три,4.65% (12/258)
Количество узлов,множественные,9.69% (25/258)
Категория,BI-RADS 1,21.13% (153/724)
Категория,BI-RADS 2,58.7% (425/724)
Категория,BI-RADS 3,15.19% (110/724)
Категория,BI-RADS 4a,1.66% (12/724)
Категория,BI-RADS 4b,0.83% (6/724)
Категория,BI-RADS 5,2.49% (18/724)
УЗ-диагноз,без патологии,25.83% (187/724)
УЗ-диагноз,фиброзно-кистозная мастопатия,30.66% (222/724)
УЗ-диагноз,фиброаденома единичная,20.03% (145/724)
УЗ-диагноз,фиброаденомы множественные,6.63% (48/724)
УЗ-диагноз,киста,4.28% (31/724)
УЗ-диагноз,кисты,4.56% (33/724)
УЗ-диагноз,мультифокальный рак,1.93% (14/724)
УЗ-диагноз,мультицентричный рак,1.8% (13/724)
УЗ-диагноз,образование Ca,2.35% (17/724)
УЗ-диагноз,склерозирующий аденоз,0.83% (6/724)
УЗ-диагноз,сложная киста,0.28% (2/724)
УЗ-диагноз,диффузный фиброаденоматоз,0.83% (6/724)
