Показатель,Значение,Группа D
Общая характеристика,Доля от выборки,51.05% (655/1283)
Общая характеристика,Кожа не изменена,99.39% (651/655)
Общая характеристика,Кожа утолщена,0.61% (4/655)
Общая характеристика,Симптом ретракции,19.39% (127/655)
Общая характеристика,Выявлено новообразование,37.86% (248/655)
Общая характеристика,Кальцинаты,12.21% (80/655)
Размер узлов,"0,5-1,0 см",27.02% (67/248)
Размер узлов,"1,1-1,5 см",30.65% (76/248)
Размер узлов,"1,5-2,0 см",22.58% (56/248)
Размер узлов,"2,1-2,5 см",6.45% (16/248)
Размер узлов,"2,5-3,0 см",12.1% (30/248)
Размер узлов,"более 3 см",1.21% (3/248)
Контуры узлов,неровные,46.77% (116/248)
Контуры узлов,ровные,31.45% (78/248)
Контуры узлов,волнистые,5.65% (14/248)
Контуры узлов,нарушение архитектоники,6.05% (15/248)
Контуры узлов,нечеткие,7.26% (18/248)
Контуры узлов,полициклические,2.82% (7/248)
Эхогенность,гипоэхогенное,95.56% (237/248)
Эхогенность,смешанная,3.23% (8/248)
Эхогенность,анэхогенное,1.21% (3/248)
Структура узлов,неоднородная,56.05% (139/248)
Структура узлов,однородная,41.13% (102/248)
Структура узлов,внутрикистозные разрастания,1.61% (4/248)
Структура узлов,с кальцинатами,1.21% (3/248)
Количество узлов,один,83.87% (208/248)
Количество узлов,два,9.27% (23/248)
Количество узлов,три,2.82% (7/248)
Количество узлов,множественные,4.03% (10/248)
Категория Birads,Birads 1,3.05% (20/655)
Категория Birads,Birads 2,67.48% (442/655)
Категория Birads,Birads 3,7.18% (47/655)
Категория Birads,Birads 4a,3.66% (24/655)
Категория Birads,Birads 4b,3.51% (23/655)
Категория Birads,Birads 4c,2.14% (14/655)
Категория Birads,Birads 5,12.98% (85/655)
