Показатель,Значение,Группа C,Группа D
Морфологическая структура,Инвазивный дольковый рак,0% (0/17),9.5% (8/84)
Морфологическая структура,Инвазивный рак неспециального типа,100% (17/17),82.2% (69/84)
Морфологическая структура,Протоковый рак in situ,0% (0/17),8.3% (7/84)
Цитологическое заключение,Интрадуктальная папиллома,30% (3/10),0% (0/10)
Цитологическое заключение,Фиброзно-кистозный характер изменений,0% (0/10),60% (6/10)
Цитологическое заключение,Фиброзно-кистозные изменения,0% (0/10),40% (4/10)
Цитологическое заключение,Цистаденопапиллома,70% (7/10),0% (0/10)
Рецепторы опухоли,Her-2_neu,0% (0/31),4.93% (7/142)
Рецепторы опухоли,негатив,0% (0/31),7.042% (10/142)
Рецепторы опухоли,РЭ+РП+Her-2_neu,19.355% (6/31),14.789% (21/142)
Рецепторы опухоли,РЭ+РП+Her-2_neu негатив,80.645% (25/31),73.239% (104/142)
Гистологически обнаружено злокачественное образование,Да,4.9% (31/628),21.7% (142/655)
Гистологически обнаружено злокачественное образование,Нет,95.1% (597/628),78.3% (513/655)
Уровень злокачественности,I (низкая 3-5 бал),0% (0/17),17.9% (15/84)
Уровень злокачественности,II (умеренная 6-7 балов),58.8% (10/17),61.9% (52/84)
Уровень злокачественности,III (высокая 8-9 бал),41.2% (7/17),20.2% (17/84)
