Показатель,Значение,2D УЗИ,3D УЗИ
Края образования,волнистые,8.571% (21/245),5.645% (14/248)
Края образования,звездчатые,15.102% (37/245),7.258% (18/248)
Края образования,неровные,35.102% (86/245),46.774% (116/248)
Края образования,полициклические,0% (0/245),2.823% (7/248)
Края образования,ровные,41.224% (101/245),31.452% (78/248)
Края образования,нарушение архитектоники,0% (0/245),6.048% (15/248)
Размер образования,"0,5-1,0 см",29.388% (72/245),27.016% (67/248)
Размер образования,"1,1-1,5 см",28.98% (71/245),30.645% (76/248)
Размер образования,"1,5-2,0 см",20% (49/245),22.581% (56/248)
Размер образования,"2,1-2,5 см",9.388% (23/245),6.452% (16/248)
Размер образования,"2,5-3,0 см",11.02% (27/245),12.097% (30/248)
Размер образования,"более 3 см",1.224% (3/245),1.21% (3/248)
Эхогенность образования,анэхогенное,1.224% (3/245),1.21% (3/248)
Эхогенность образования,гипоэхогенное,94.286% (231/245),95.565% (237/248)
Эхогенность образования,смешанная,4.49% (11/245),3.226% (8/248)
Структура образования,наличие внутрикистозных пристеночных разрастаний,0% (0/245),1.613% (4/248)
Структура образования,неоднородная,60% (147/245),56.048% (139/248)
Структура образования,однородная,40% (98/245),41.129% (102/248)
Структура образования,с жидкостным содержимым,0% (0/245),0% (0/248)
Структура образования,с кальцинатами,0% (0/245),1.21% (3/248)
Количество узлов,один,83.673% (205/245),83.871% (208/248)
Количество узлов,три,1.224% (3/245),2.823% (7/248)
Количество узлов,два,12.245% (30/245),9.274% (23/248)
Количество узлов,множественные,2.857% (7/245),4.032% (10/248)
Кальцинаты,определяются,31.02% (76/245),29.435% (73/248)
Кальцинаты,не определяются,68.98% (169/245),70.565% (175/248)
Поставленный диагноз,диффузный фиброаденоматоз,0% (0/245),1.613% (4/248)
Поставленный диагноз,киста,1.224% (3/245),2.419% (6/248)
Поставленный диагноз,локализованный фиброаденоматоз,6.122% (15/245),1.613% (4/248)
Поставленный диагноз,мультицентричный рак,6.939% (17/245),2.823% (7/248)
Поставленный диагноз,мультфококальный рак,2.857% (7/245),0% (0/248)
Поставленный диагноз,образование Ca,46.939% (115/245),44.758% (111/248)
Поставленный диагноз,сложная киста,1.633% (4/245),0% (0/248)
Поставленный диагноз,фиброаденома единичная,26.939% (66/245),29.435% (73/248),
Поставленный диагноз,фиброаденомы множествненные,6.122% (15/245),6.048% (15/248)
Поставленный диагноз,фиброзно-кистозная мастопатия,0% (0/245),2.823% (7/248)
Поставленный диагноз,цистаденопапиллома,1.224% (3/245),0% (0/248)
Поставленный диагноз,мультифокальный рак,0% (0/245),2.823% (7/248)
Поставленный диагноз,склерозирующий аденоз,0% (0/245),5.645% (14/248)
Категория,BIRADS 1,20.58% (149/724),21.133% (153/724)
Категория,BIRADS 2,56.492% (409/724),58.702% (425/724)
Категория,BIRADS 3,17.127% (124/724),15.193% (110/724)
Категория,BIRADS 4b,1.657% (12/724),0.829% (6/724)
Категория,BIRADS 4а,3.315% (24/724),1.657% (12/724)
Категория,BIRADS 5,0.829% (6/724),2.486% (18/724)
